10,80;-7,01;0,02;-28,20
21,10;-4,11;0,00;-46,72
21,00;-4,13;0,00;-40,10
20,70;-4,19;0,00;-40,30
20,40;-4,25;0,00;-46,72
20,40;-4,25;0,00;-46,72
20,10;-4,32;0,00;-49,73
20,10;-4,32;0,00;-49,73
19,70;-4,40;0,00;-37,09
19,30;-4,49;0,01;-34,28
19,00;-4,56;0,00;-46,72
19,00;-4,56;0,00;-46,72
18,90;-4,58;0,00;-39,43
18,70;-4,63;0,00;-40,70
18,70;-4,63;0,00;-45,62
18,60;-4,65;0,01;-30,77
18,30;-4,72;0,00;-36,68
18,00;-4,80;0,00;-46,12
18,00;-4,80;0,00;-46,12
25,20;-3,33;0,00;-46,72
23,80;-3,58;0,00;-43,71
23,40;-3,66;0,00;-46,32
23,40;-3,66;0,00;-46,32
23,40;-3,66;0,00;-46,32
23,40;-3,66;0,00;-46,32
23,10;-3,71;0,00;-43,71
22,50;-3,83;0,00;-43,71
21,70;-3,98;0,00;-43,71
21,40;-4,04;0,00;-40,70
6,20;-9,42;0,01;-33,01
6,30;-9,36;0,01;-30,33
6,40;-9,29;0,01;-29,95
6,50;-9,22;0,01;-30,73
6,50;-9,22;0,00;-36,75
6,70;-9,09;0,06;-24,07
6,70;-9,09;0,03;-27,36
6,70;-9,09;0,00;-36,29
6,70;-9,09;0,00;-36,29
6,90;-8,96;0,01;-30,12
6,90;-8,96;0,01;-30,12
6,90;-8,96;0,05;-24,73
7,20;-8,78;0,03;-27,43
7,20;-8,78;0,01;-33,24
7,20;-8,78;0,01;-33,24
7,30;-8,72;0,01;-30,79
7,30;-8,72;0,01;-31,13
7,40;-8,66;0,05;-24,45
7,40;-8,66;0,01;-30,72
7,50;-8,60;0,01;-30,15
7,60;-8,54;0,00;-36,39
7,60;-8,54;0,03;-27,32
7,60;-8,54;0,01;-32,99
7,60;-8,54;0,00;-42,41
7,60;-8,54;0,00;-36,52
7,70;-8,48;0,02;-28,15
7,70;-8,48;0,00;-39,66
7,80;-8,43;0,01;-30,55
7,80;-8,43;0,04;-25,49
7,80;-8,43;0,01;-29,90
7,80;-8,43;0,01;-30,55
7,80;-8,43;0,00;-36,54
7,80;-8,43;0,00;-36,79
7,90;-8,37;0,05;-24,39
7,90;-8,37;0,00;-42,95
7,90;-8,37;0,05;-24,84
7,90;-8,37;0,01;-30,65
7,90;-8,37;0,00;-42,95
8,00;-8,32;0,03;-27,17
8,00;-8,32;0,01;-33,80
8,00;-8,32;0,05;-24,40
8,00;-8,32;0,00;-35,94
8,10;-8,26;0,02;-27,91
8,10;-8,26;0,00;-37,08
8,10;-8,26;0,06;-23,98
8,10;-8,26;0,01;-30,69
8,20;-8,21;0,01;-30,93
8,20;-8,21;0,01;-29,90
8,20;-8,21;0,02;-28,21
8,20;-8,21;0,00;-39,71
8,20;-8,21;0,01;-30,68
8,30;-8,16;0,00;-40,25
8,30;-8,16;0,00;-34,57
8,30;-8,16;0,01;-34,20
8,30;-8,16;0,01;-33,83
8,30;-8,16;0,04;-25,54
8,40;-8,11;0,02;-27,55
8,40;-8,11;0,00;-36,98
8,40;-8,11;0,00;-37,11
8,40;-8,11;0,00;-37,11
8,50;-8,05;0,01;-33,04
8,50;-8,05;0,00;-37,42
8,50;-8,05;0,01;-30,70
8,50;-8,05;0,01;-30,46
8,50;-8,05;0,03;-27,21
8,50;-8,05;0,01;-30,70
8,60;-8,00;0,00;-36,99
8,60;-8,00;0,00;-43,01
8,60;-8,00;0,01;-34,12
8,60;-8,00;0,01;-31,25
8,60;-8,00;0,00;-36,99
8,60;-8,00;0,00;-36,86
8,60;-8,00;0,00;-36,99
8,70;-7,95;0,01;-30,99
8,70;-7,95;0,02;-27,71
8,70;-7,95;0,00;-37,15
8,80;-7,90;0,04;-25,61
8,80;-7,90;0,01;-31,31
8,80;-7,90;0,00;-40,31
8,80;-7,90;0,01;-34,44
8,80;-7,90;0,01;-33,64
8,80;-7,90;0,00;-40,31
8,80;-7,90;0,01;-33,64
8,80;-7,90;0,00;-40,34
8,90;-7,85;0,00;-43,64
8,90;-7,85;0,00;-43,64
8,90;-7,85;0,01;-34,15
9,00;-7,81;0,01;-30,26
9,00;-7,81;0,00;-43,05
9,00;-7,81;0,02;-28,15
9,00;-7,81;0,05;-24,48
9,00;-7,81;0,01;-34,02
9,00;-7,81;0,00;-43,05
9,10;-7,76;0,00;-37,22
9,10;-7,76;0,00;-37,53
9,10;-7,76;0,05;-24,93
9,10;-7,76;0,01;-34,48
9,10;-7,76;0,01;-31,31
9,20;-7,71;0,00;-37,19
9,20;-7,71;0,00;-37,19
9,20;-7,71;0,04;-25,40
9,20;-7,71;0,00;-37,87
9,20;-7,71;0,01;-31,64
9,20;-7,71;0,01;-31,38
9,20;-7,71;0,02;-27,76
9,40;-7,62;0,00;-37,22
9,40;-7,62;0,04;-25,10
9,40;-7,62;0,00;-34,58
9,40;-7,62;0,00;-37,52
9,40;-7,62;0,00;-34,74
9,40;-7,62;0,01;-30,84
9,40;-7,62;0,01;-30,84
9,40;-7,62;0,00;-43,77
9,40;-7,62;0,00;-37,52
9,40;-7,62;0,00;-40,37
9,40;-7,62;0,00;-40,37
9,40;-7,62;0,00;-43,77
9,50;-7,57;0,00;-37,70
9,50;-7,57;0,02;-27,90
9,50;-7,57;0,01;-31,73
9,50;-7,57;0,00;-42,59
9,50;-7,57;0,00;-36,57
9,50;-7,57;0,04;-25,04
9,60;-7,53;0,01;-31,45
9,60;-7,53;0,00;-40,48
9,60;-7,53;0,00;-36,70
9,60;-7,53;0,00;-37,92
9,60;-7,53;0,00;-37,92
9,70;-7,48;0,01;-32,13
9,70;-7,48;0,00;-41,19
9,70;-7,48;0,01;-31,80
9,70;-7,48;0,01;-31,37
9,70;-7,48;0,00;-37,56
9,70;-7,48;0,01;-30,82
9,70;-7,48;0,00;-37,56
9,70;-7,48;0,00;-39,85
9,80;-7,44;0,01;-31,72
9,80;-7,44;0,00;-37,99
9,90;-7,39;0,00;-34,96
9,90;-7,39;0,00;-36,99
9,90;-7,39;0,00;-36,73
9,90;-7,39;0,05;-24,89
9,90;-7,39;0,00;-34,67
10,00;-7,35;0,01;-31,41
10,00;-7,35;0,00;-40,44
10,00;-7,35;0,00;-34,58
10,00;-7,35;0,01;-32,23
10,00;-7,35;0,01;-30,85
10,10;-7,31;0,00;-38,07
10,10;-7,31;0,00;-43,81
10,10;-7,31;0,00;-43,81
10,10;-7,31;0,00;-43,81
10,10;-7,31;0,00;-43,81
10,10;-7,31;0,00;-43,16
10,10;-7,31;0,00;-43,16
10,10;-7,31;0,01;-34,13
10,10;-7,31;0,01;-34,00
10,10;-7,31;0,00;-38,07
10,20;-7,26;0,00;-39,90
10,20;-7,26;0,00;-37,91
10,20;-7,26;0,00;-35,01
10,20;-7,26;0,02;-29,58
10,20;-7,26;0,01;-31,47
10,30;-7,22;0,00;-37,30
10,30;-7,22;0,00;-34,75
10,30;-7,22;0,00;-37,78
10,30;-7,22;0,01;-32,26
10,30;-7,22;0,00;-37,30
10,30;-7,22;0,01;-31,15
